parameter,value,false_positive_mean,false_positive_std,false_positive_min,false_positive_max,false_negative_mean,false_negative_std,false_negative_min,false_negative_max,safety_margin_mean,safety_margin_std,extra_length_mean,extra_length_std,interventions_mean,interventions_std,entropy_<lambda>
altitude.vertical_rate_fpm,-2000.0,0.1888888888888889,0.10226199851298273,0.1,0.30000000000000004,0.1622222222222222,0.0715833989590879,0.1,0.24,2.1388918819250433,2.212300269602423,818.2222222222222,55.122916719930735,1.0,0.0,0.2777777777777778
altitude.vertical_rate_fpm,0.0,0.30000000000000004,0.0,0.30000000000000004,0.30000000000000004,0.24,0.0,0.24,0.24,3.8999994898025716,3.9686272558517275,848.0,0.0,1.0,0.0,0.0
altitude.vertical_rate_fpm,2000.0,0.30000000000000004,0.0,0.30000000000000004,0.30000000000000004,0.24,0.0,0.24,0.24,2.7000433545050058,2.0784985152030244,848.0,0.0,1.0,0.0,0.0
safety.horizontal_separation_nm,3.0,0.30000000000000004,0.0,0.30000000000000004,0.30000000000000004,0.24,0.0,0.24,0.24,3.8000920616373386,3.0348287870635957,848.0,0.0,1.0,0.0,0.0
safety.horizontal_separation_nm,5.5,0.30000000000000004,0.0,0.30000000000000004,0.30000000000000004,0.24,0.0,0.24,0.24,5.500017621023979,4.16053695955503,848.0,0.0,1.0,0.0,0.0
safety.horizontal_separation_nm,8.0,0.30000000000000004,0.0,0.30000000000000004,0.30000000000000004,0.24,0.0,0.24,0.24,4.699840952192614,1.385778406032632,848.0,0.0,1.0,0.0,0.0
simulation.duration_minutes,5.0,0.30000000000000004,0.0,0.30000000000000004,0.30000000000000004,0.24,0.0,0.24,0.24,3.899889763892384,3.4598261352911095,848.0,0.0,1.0,0.0,0.0
simulation.duration_minutes,10.0,0.30000000000000004,0.0,0.30000000000000004,0.30000000000000004,0.24,0.0,0.24,0.24,1.5999977162767607,0.17320705855310184,848.0,0.0,1.0,0.0,0.0
simulation.duration_minutes,15.0,0.30000000000000004,0.0,0.30000000000000004,0.30000000000000004,0.24,0.0,0.24,0.24,2.1000330482236835,2.3812180836307397,848.0,0.0,1.0,0.0,0.0
traffic.density_multiplier,0.30000000000000004,0.30000000000000004,0.0,0.30000000000000004,0.30000000000000004,0.24,0.0,0.24,0.24,1.2000001669526332,1.8248254073581873,848.0,0.0,1.0,0.0,0.0
traffic.density_multiplier,1.15,0.30000000000000004,0.0,0.30000000000000004,0.30000000000000004,0.24,0.0,0.24,0.24,1.0000318458217443,0.17326023933815948,848.0,0.0,1.0,0.0,0.0
traffic.density_multiplier,2.0,0.30000000000000004,0.0,0.30000000000000004,0.30000000000000004,0.24,0.0,0.24,0.24,1.199806515807415,0.9002937303377342,848.0,0.0,1.0,0.0,0.0
